Tiempo,Precio promedio
2011-01-31,255.80149999999998
2011-02-28,261.206
2011-03-31,263.509
2011-04-30,262.0625
2011-05-31,273.1445
2011-06-30,276.9435
2011-07-31,277.3165
2011-08-31,272.8175
2011-09-30,279.2105
2011-10-31,289.9615
2011-11-30,293.3805
2011-12-31,293.88
2012-01-31,296.066
2012-02-29,299.933
2012-03-31,301.666
2012-04-30,301.037
2012-05-31,301.9305
2012-06-30,298.278
2012-07-31,302.142
2012-08-31,294.75300000000004
2012-09-30,301.2835
2012-10-31,299.393
2012-11-30,299.7535
2012-12-31,305.5775
2013-01-31,304.319
2013-02-28,298.32800000000003
2013-03-31,302.72950000000003
2013-04-30,299.214
2013-05-31,303.761
2013-06-30,303.544
2013-07-31,302.567
2013-08-31,300.479
2013-09-30,298.027
2013-10-31,295.81550000000004
2013-11-30,298.02200000000005
2013-12-31,298.0165
2014-01-31,292.911
2014-02-28,291.7625
2014-03-31,285.404
2014-04-30,272.531
2014-05-31,283.23650000000004
2014-06-30,288.055
2014-07-31,281.8995
2014-08-31,290.7155
2014-09-30,288.23
2014-10-31,284.881
2014-11-30,292.4005
2014-12-31,290.548
2015-01-31,291.7105
2015-02-28,314.3975
2015-03-31,304.225
2015-04-30,304.149
2015-05-31,296.606
2015-06-30,306.78049999999996
2015-07-31,314.52
2015-08-31,317.3885
2015-09-30,318.8025
2015-10-31,313.865
2015-11-30,325.34000000000003
2015-12-31,322.2715
2016-01-31,326.54
2016-02-29,323.6915
2016-03-31,324.856
2016-04-30,326.7145
2016-05-31,337.2625
2016-06-30,332.957
2016-07-31,321.408
2016-08-31,320.38
2016-09-30,327.283
2016-10-31,331.2875
2016-11-30,331.807
2016-12-31,331.9
2017-01-31,339.40500000000003
2017-02-28,350.7025
2017-03-31,341.201
2017-04-30,325.7805
2017-05-31,330.5475
2017-06-30,324.25
2017-07-31,325.846
2017-08-31,328.0045
2017-09-30,343.09499999999997
2017-10-31,353.515
2017-11-30,350.5295
2017-12-31,357.06550000000004
2018-01-31,366.565
2018-02-28,366.536
2018-03-31,360.954
2018-04-30,366.941
2018-05-31,361.521
2018-06-30,361.5625
2018-07-31,358.1535
