Tiempo,Precio promedio
2011-01-31,150.449
2011-02-28,150.239
2011-03-31,152.4275
2011-04-30,153.21099999999998
2011-05-31,153.8405
2011-06-30,150.631
2011-07-31,151.253
2011-08-31,148.4495
2011-09-30,147.885
2011-10-31,146.947
2011-11-30,146.4495
2011-12-31,149.2935
2012-01-31,150.433
2012-02-29,148.09949999999998
2012-03-31,149.568
2012-04-30,150.47449999999998
2012-05-31,149.43800000000002
2012-06-30,151.303
2012-07-31,150.7355
2012-08-31,151.1155
2012-09-30,153.50799999999998
2012-10-31,150.5405
2012-11-30,150.2695
2012-12-31,151.88299999999998
2013-01-31,152.983
2013-02-28,152.6815
2013-03-31,153.0425
2013-04-30,156.007
2013-05-31,160.514
2013-06-30,160.873
2013-07-31,163.92249999999999
2013-08-31,180.747
2013-09-30,194.7205
2013-10-31,194.9845
2013-11-30,199.1905
2013-12-31,203.0405
2014-01-31,204.95300000000003
2014-02-28,208.0955
2014-03-31,218.098
2014-04-30,224.93400000000003
2014-05-31,224.75
2014-06-30,229.11399999999998
2014-07-31,228.664
2014-08-31,223.39000000000001
2014-09-30,223.45250000000001
2014-10-31,222.414
2014-11-30,222.99
2014-12-31,223.0565
2015-01-31,223.03249999999997
2015-02-28,220.115
2015-03-31,219.9925
2015-04-30,217.72750000000002
2015-05-31,216.4125
2015-06-30,217.209
2015-07-31,212.1565
2015-08-31,210.625
2015-09-30,212.6
2015-10-31,209.51999999999998
2015-11-30,210.4475
2015-12-31,211.4925
2016-01-31,211.5075
2016-02-29,220.57399999999998
2016-03-31,230.392
2016-04-30,233.23000000000002
2016-05-31,238.20300000000003
2016-06-30,244.25050000000002
2016-07-31,245.19
2016-08-31,246.5665
2016-09-30,245.039
2016-10-31,244.74
2016-11-30,244.2765
2016-12-31,248.8625
2017-01-31,252.45250000000001
2017-02-28,253.68249999999998
2017-03-31,257.935
2017-04-30,257.75149999999996
2017-05-31,263.294
2017-06-30,265.633
2017-07-31,266.969
2017-08-31,268.1415
2017-09-30,265.315
2017-10-31,263.1025
2017-11-30,257.995
2017-12-31,263.54
2018-01-31,262.9525
2018-02-28,258.4625
2018-03-31,258.654
2018-04-30,260.835
2018-05-31,257.475
2018-06-30,266.8375
2018-07-31,279.475
