Tiempo,Precio promedio
2011-01-31,10.56
2011-02-28,10.1604
2011-03-31,8.0398
2011-04-30,6.6314
2011-05-31,6.5012
2011-06-30,6.570399999999999
2011-07-31,8.697799999999999
2011-08-31,8.5284
2011-09-30,9.934800000000001
2011-10-31,10.762599999999999
2011-11-30,12.925799999999999
2011-12-31,11.634400000000001
2012-01-31,10.968399999999999
2012-02-29,9.7032
2012-03-31,9.7908
2012-04-30,9.9398
2012-05-31,9.8076
2012-06-30,8.9022
2012-07-31,9.646
2012-08-31,10.1456
2012-09-30,12.0242
2012-10-31,11.9838
2012-11-30,13.4626
2012-12-31,13.020199999999999
2013-01-31,13.8706
2013-02-28,16.5702
2013-03-31,17.0106
2013-04-30,14.3496
2013-05-31,10.1546
2013-06-30,8.7872
2013-07-31,9.9188
2013-08-31,11.078399999999998
2013-09-30,13.2276
2013-10-31,16.863599999999998
2013-11-30,19.9718
2013-12-31,17.779
2014-01-31,19.8694
2014-02-28,22.485599999999998
2014-03-31,21.365
2014-04-30,12.679
2014-05-31,10.617
2014-06-30,10.443
2014-07-31,12.5948
2014-08-31,12.9754
2014-09-30,15.1988
2014-10-31,20.1696
2014-11-30,18.0886
2014-12-31,14.493
2015-01-31,14.175799999999999
2015-02-28,13.339400000000001
2015-03-31,12.8432
2015-04-30,11.8892
2015-05-31,10.965
2015-06-30,11.066200000000002
2015-07-31,12.985
2015-08-31,14.0156
2015-09-30,17.099
2015-10-31,20.518600000000003
2015-11-30,19.5304
2015-12-31,18.0878
2016-01-31,24.551
2016-02-29,27.4556
2016-03-31,21.0786
2016-04-30,16.3238
2016-05-31,14.663799999999998
2016-06-30,13.776800000000001
2016-07-31,13.183800000000002
2016-08-31,12.9178
2016-09-30,16.0016
2016-10-31,16.1494
2016-11-30,15.0658
2016-12-31,17.6772
2017-01-31,19.9438
2017-02-28,15.877
2017-03-31,13.186
2017-04-30,12.381400000000001
2017-05-31,12.2562
2017-06-30,12.4354
2017-07-31,12.9522
2017-08-31,20.6922
2017-09-30,29.4108
2017-10-31,26.6056
2017-11-30,27.8438
2017-12-31,21.891199999999998
2018-01-31,19.1662
2018-02-28,14.546199999999999
2018-03-31,13.530999999999999
2018-04-30,13.106
2018-05-31,13.1432
2018-06-30,13.1754
2018-07-31,14.373399999999998
