Tiempo,Precio promedio
2011-01-31,42.00775
2011-02-28,39.82425
2011-03-31,38.79025
2011-04-30,43.46925
2011-05-31,42.856
2011-06-30,36.54425
2011-07-31,32.6185
2011-08-31,33.363
2011-09-30,36.464
2011-10-31,39.894999999999996
2011-11-30,42.880250000000004
2011-12-31,45.894999999999996
2012-01-31,43.804500000000004
2012-02-29,36.997
2012-03-31,41.66825
2012-04-30,42.0245
2012-05-31,37.85625
2012-06-30,39.23675
2012-07-31,37.86175
2012-08-31,38.79325
2012-09-30,40.922000000000004
2012-10-31,42.70175
2012-11-30,41.833999999999996
2012-12-31,43.55525
2013-01-31,44.35275
2013-02-28,39.870999999999995
2013-03-31,42.2725
2013-04-30,43.353750000000005
2013-05-31,43.71925
2013-06-30,40.11425
2013-07-31,34.78775
2013-08-31,35.983
2013-09-30,35.42875
2013-10-31,37.81225
2013-11-30,45.852
2013-12-31,48.31475
2014-01-31,55.029500000000006
2014-02-28,53.428999999999995
2014-03-31,50.83675
2014-04-30,47.373000000000005
2014-05-31,44.571
2014-06-30,43.347750000000005
2014-07-31,39.8845
2014-08-31,42.8955
2014-09-30,43.6415
2014-10-31,45.32925
2014-11-30,52.875750000000004
2014-12-31,54.59275
2015-01-31,50.48175
2015-02-28,48.44225
2015-03-31,48.51475
2015-04-30,48.426249999999996
2015-05-31,49.9435
2015-06-30,48.7555
2015-07-31,41.67925
2015-08-31,41.02775
2015-09-30,43.49225
2015-10-31,47.660250000000005
2015-11-30,53.967499999999994
2015-12-31,57.279999999999994
2016-01-31,58.88975000000001
2016-02-29,54.965999999999994
2016-03-31,51.39525
2016-04-30,55.2495
2016-05-31,56.2005
2016-06-30,50.13875
2016-07-31,46.89375
2016-08-31,49.049
2016-09-30,49.46025
2016-10-31,48.281
2016-11-30,60.67375
2016-12-31,63.64375
2017-01-31,64.54225
2017-02-28,61.239999999999995
2017-03-31,61.94225
2017-04-30,63.66175
2017-05-31,58.73375
2017-06-30,55.551750000000006
2017-07-31,53.713
2017-08-31,52.43275
2017-09-30,55.13250000000001
2017-10-31,55.425749999999994
2017-11-30,59.784000000000006
2017-12-31,61.85525
2018-01-31,64.0685
2018-02-28,62.407500000000006
2018-03-31,61.288250000000005
2018-04-30,65.11525
2018-05-31,63.963499999999996
2018-06-30,61.7645
2018-07-31,59.2885
