Tiempo,Precio promedio
2011-01-31,72.3725
2011-02-28,72.522
2011-03-31,70.1395
2011-04-30,70.184
2011-05-31,70.346
2011-06-30,72.211
2011-07-31,68.5655
2011-08-31,68.3395
2011-09-30,67.777
2011-10-31,66.267
2011-11-30,65.84
2011-12-31,68.218
2012-01-31,70.087
2012-02-29,73.4425
2012-03-31,75.73150000000001
2012-04-30,75.9435
2012-05-31,75.35900000000001
2012-06-30,78.063
2012-07-31,79.168
2012-08-31,79.648
2012-09-30,79.3935
2012-10-31,79.588
2012-11-30,80.5515
2012-12-31,81.51750000000001
2013-01-31,81.598
2013-02-28,80.9285
2013-03-31,83.763
2013-04-30,84.1935
2013-05-31,84.437
2013-06-30,83.8925
2013-07-31,83.048
2013-08-31,84.163
2013-09-30,84.2
2013-10-31,84.388
2013-11-30,84.10249999999999
2013-12-31,85.687
2014-01-31,85.613
2014-02-28,85.95649999999999
2014-03-31,85.362
2014-04-30,80.9975
2014-05-31,80.6295
2014-06-30,79.5015
2014-07-31,79.838
2014-08-31,80.2355
2014-09-30,80.825
2014-10-31,81.2885
2014-11-30,81.88250000000001
2014-12-31,81.2785
2015-01-31,83.4755
2015-02-28,84.1885
2015-03-31,85.5055
2015-04-30,85.44550000000001
2015-05-31,85.777
2015-06-30,86.2005
2015-07-31,84.969
2015-08-31,85.689
2015-09-30,85.257
2015-10-31,84.911
2015-11-30,90.4595
2015-12-31,91.5995
2016-01-31,89.767
2016-02-29,89.154
2016-03-31,86.0865
2016-04-30,88.0895
2016-05-31,91.5725
2016-06-30,90.361
2016-07-31,89.479
2016-08-31,89.99600000000001
2016-09-30,94.1015
2016-10-31,93.423
2016-11-30,95.3615
2016-12-31,96.845
2017-01-31,98.509
2017-02-28,96.523
2017-03-31,97.0385
2017-04-30,94.1895
2017-05-31,94.773
2017-06-30,95.149
2017-07-31,92.25450000000001
2017-08-31,93.83250000000001
2017-09-30,92.858
2017-10-31,92.663
2017-11-30,94.35
2017-12-31,92.875
2018-01-31,94.601
2018-02-28,95.3845
2018-03-31,93.18050000000001
2018-04-30,93.029
2018-05-31,92.1665
2018-06-30,92.56
2018-07-31,92.7945
