Tiempo,Precio promedio
2011-01-31,16.279
2011-02-28,16.6205
2011-03-31,17.2945
2011-04-30,17.6215
2011-05-31,18.7315
2011-06-30,17.5375
2011-07-31,15.655000000000001
2011-08-31,14.6975
2011-09-30,15.0915
2011-10-31,15.4445
2011-11-30,17.037
2011-12-31,18.627000000000002
2012-01-31,20.452
2012-02-29,19.2655
2012-03-31,18.4645
2012-04-30,16.8665
2012-05-31,16.834
2012-06-30,17.322499999999998
2012-07-31,17.5305
2012-08-31,17.8655
2012-09-30,18.034
2012-10-31,17.5655
2012-11-30,17.0295
2012-12-31,16.601
2013-01-31,16.844
2013-02-28,17.0025
2013-03-31,17.19
2013-04-30,18.074
2013-05-31,18.988
2013-06-30,18.744
2013-07-31,19.1415
2013-08-31,18.887999999999998
2013-09-30,18.0115
2013-10-31,16.9005
2013-11-30,16.581
2013-12-31,16.684
2014-01-31,16.848
2014-02-28,17.680500000000002
2014-03-31,18.4
2014-04-30,20.309
2014-05-31,23.6465
2014-06-30,21.426499999999997
2014-07-31,18.3915
2014-08-31,17.7245
2014-09-30,16.9865
2014-10-31,16.93
2014-11-30,17.703
2014-12-31,20.0965
2015-01-31,20.2505
2015-02-28,20.279
2015-03-31,19.895
2015-04-30,19.144
2015-05-31,19.9725
2015-06-30,19.543
2015-07-31,19.7075
2015-08-31,20.075499999999998
2015-09-30,19.655
2015-10-31,18.805500000000002
2015-11-30,19.4495
2015-12-31,18.999000000000002
2016-01-31,19.8425
2016-02-29,20.1815
2016-03-31,19.2455
2016-04-30,19.5975
2016-05-31,20.7765
2016-06-30,22.1815
2016-07-31,23.91
2016-08-31,24.409
2016-09-30,22.058
2016-10-31,20.875
2016-11-30,21.170499999999997
2016-12-31,21.080000000000002
2017-01-31,20.27
2017-02-28,21.464
2017-03-31,21.863999999999997
2017-04-30,22.7725
2017-05-31,24.062
2017-06-30,23.654
2017-07-31,23.398
2017-08-31,22.7155
2017-09-30,21.19
2017-10-31,20.3465
2017-11-30,21.454
2017-12-31,24.384
2018-01-31,24.9715
2018-02-28,24.832
2018-03-31,23.817
2018-04-30,24.987000000000002
2018-05-31,25.519
2018-06-30,23.955000000000002
2018-07-31,21.538999999999998
