Tiempo,Precio promedio
2011-01-31,20.6815
2011-02-28,20.506999999999998
2011-03-31,20.7765
2011-04-30,21.9955
2011-05-31,21.886
2011-06-30,22.017
2011-07-31,22.043
2011-08-31,21.6965
2011-09-30,21.4935
2011-10-31,20.712
2011-11-30,20.3765
2011-12-31,20.618000000000002
2012-01-31,21.0015
2012-02-29,21.777
2012-03-31,21.3745
2012-04-30,21.6725
2012-05-31,22.139
2012-06-30,22.4155
2012-07-31,22.086000000000002
2012-08-31,22.444
2012-09-30,23.267500000000002
2012-10-31,22.651
2012-11-30,22.625
2012-12-31,23.0545
2013-01-31,22.895
2013-02-28,23.1405
2013-03-31,23.3835
2013-04-30,23.348
2013-05-31,23.262999999999998
2013-06-30,23.009
2013-07-31,23.2655
2013-08-31,23.265
2013-09-30,22.91
2013-10-31,22.603
2013-11-30,23.5355
2013-12-31,23.7385
2014-01-31,23.533
2014-02-28,23.486
2014-03-31,23.3555
2014-04-30,23.8605
2014-05-31,24.606
2014-06-30,24.6625
2014-07-31,24.2805
2014-08-31,23.19
2014-09-30,23.782
2014-10-31,23.835
2014-11-30,23.5535
2014-12-31,24.316499999999998
2015-01-31,24.195
2015-02-28,24.680500000000002
2015-03-31,24.449
2015-04-30,24.6495
2015-05-31,25.321
2015-06-30,25.76
2015-07-31,25.793
2015-08-31,25.985000000000003
2015-09-30,25.7295
2015-10-31,25.952499999999997
2015-11-30,26.002999999999997
2015-12-31,25.767000000000003
2016-01-31,26.4755
2016-02-29,26.819499999999998
2016-03-31,25.97
2016-04-30,25.9675
2016-05-31,26.176499999999997
2016-06-30,25.982
2016-07-31,26.255000000000003
2016-08-31,26.619
2016-09-30,26.944499999999998
2016-10-31,26.856
2016-11-30,27.294
2016-12-31,27.184500000000003
2017-01-31,26.639
2017-02-28,27.326999999999998
2017-03-31,27.8025
2017-04-30,25.236
2017-05-31,26.21
2017-06-30,26.737000000000002
2017-07-31,26.708999999999996
2017-08-31,27.012
2017-09-30,27.002999999999997
2017-10-31,26.7785
2017-11-30,27.133499999999998
2017-12-31,27.599
2018-01-31,27.714499999999997
2018-02-28,27.686
2018-03-31,27.544999999999998
2018-04-30,27.5885
2018-05-31,27.851499999999998
2018-06-30,28.421499999999998
2018-07-31,28.435000000000002
