Tiempo,Precio promedio
2011-01-31,12.561
2011-02-28,13.996500000000001
2011-03-31,14.0665
2011-04-30,14.006499999999999
2011-05-31,12.713249999999999
2011-06-30,11.803999999999998
2011-07-31,11.5395
2011-08-31,11.845
2011-09-30,10.5505
2011-10-31,10.0955
2011-11-30,11.602500000000001
2011-12-31,11.5205
2012-01-31,12.067499999999999
2012-02-29,13.328999999999999
2012-03-31,14.153749999999999
2012-04-30,12.839500000000001
2012-05-31,12.906749999999999
2012-06-30,12.40025
2012-07-31,11.115
2012-08-31,9.97475
2012-09-30,9.626999999999999
2012-10-31,9.9
2012-11-30,9.97275
2012-12-31,10.1935
2013-01-31,11.6345
2013-02-28,12.2905
2013-03-31,12.09375
2013-04-30,12.334
2013-05-31,11.689499999999999
2013-06-30,11.9265
2013-07-31,11.31575
2013-08-31,11.3615
2013-09-30,11.14175
2013-10-31,10.66725
2013-11-30,10.42925
2013-12-31,11.407250000000001
2014-01-31,13.167750000000002
2014-02-28,14.636750000000001
2014-03-31,14.401750000000002
2014-04-30,12.63525
2014-05-31,13.9025
2014-06-30,13.10275
2014-07-31,13.125499999999999
2014-08-31,12.714
2014-09-30,11.94275
2014-10-31,11.56225
2014-11-30,11.958499999999999
2014-12-31,12.51625
2015-01-31,14.024750000000001
2015-02-28,14.43775
2015-03-31,14.011
2015-04-30,13.3065
2015-05-31,12.5685
2015-06-30,13.45025
2015-07-31,13.498500000000002
2015-08-31,12.722249999999999
2015-09-30,12.208
2015-10-31,11.698
2015-11-30,12.018
2015-12-31,12.50775
2016-01-31,14.998
2016-02-29,16.93325
2016-03-31,17.082
2016-04-30,16.53725
2016-05-31,15.67175
2016-06-30,14.78225
2016-07-31,14.09375
2016-08-31,13.647749999999998
2016-09-30,12.9395
2016-10-31,12.679
2016-11-30,12.7615
2016-12-31,13.374
2017-01-31,14.5305
2017-02-28,14.9335
2017-03-31,15.284749999999999
2017-04-30,14.742250000000002
2017-05-31,15.481
2017-06-30,15.99025
2017-07-31,17.6435
2017-08-31,15.983500000000001
2017-09-30,14.604249999999999
2017-10-31,14.18475
2017-11-30,14.86875
2017-12-31,16.50875
2018-01-31,19.41175
2018-02-28,21.00425
2018-03-31,19.478
2018-04-30,18.5625
2018-05-31,19.032
2018-06-30,17.323500000000003
2018-07-31,17.1515
